Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
Europa,6,Alemanha,57,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,12
América do Sul,4,Argentina,26,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,659
América do Sul,4,Argentina,26,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
Europa,6,Áustria,58,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
Europa,6,Bélgica,59,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Chile,28,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Colômbia,29,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
Europa,6,Espanha,65,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,10
Europa,6,Espanha,65,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Estados Unidos,24,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
Europa,6,Finlândia,67,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
Europa,6,França,68,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,3
Europa,6,Holanda,70,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
Europa,6,Irlanda,72,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
Ásia,5,Israel,47,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
Europa,6,Itália,73,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,25
Ásia,5,Japão,48,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
América do Norte,3,México,25,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
América do Norte,3,México,25,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Paraguai,33,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,5
América Central e Caribe,2,Outros países,22,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,1
Europa,6,Portugal,79,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,85
Europa,6,Reino Unido,80,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,3
Europa,6,Suíça,86,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,14
América do Sul,4,Uruguai,36,Outras Unidades da Federação,99,Aéreo,1,2023,Outubro,10,4
América do Sul,4,Argentina,26,Amapá,3,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Colômbia,29,Amapá,3,Aéreo,1,2023,Outubro,10,1
América do Norte,3,Estados Unidos,24,Amapá,3,Aéreo,1,2023,Outubro,10,0
África,1,África do Sul,1,Amazonas,4,Aéreo,1,2023,Outubro,10,1
África,1,África do Sul,1,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Alemanha,57,Amazonas,4,Aéreo,1,2023,Outubro,10,48
Europa,6,Alemanha,57,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Argentina,26,Amazonas,4,Aéreo,1,2023,Outubro,10,4
América do Sul,4,Argentina,26,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Oceania,7,Austrália,90,Amazonas,4,Aéreo,1,2023,Outubro,10,5
Oceania,7,Austrália,90,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Áustria,58,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Áustria,58,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Bélgica,59,Amazonas,4,Aéreo,1,2023,Outubro,10,6
América do Sul,4,Bolívia,27,Amazonas,4,Aéreo,1,2023,Outubro,10,3
América do Norte,3,Canadá,23,Amazonas,4,Aéreo,1,2023,Outubro,10,60
América do Norte,3,Canadá,23,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Chile,28,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Ásia,5,China,40,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Ásia,5,China,40,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Cingapura,42,Amazonas,4,Aéreo,1,2023,Outubro,10,4
Ásia,5,Cingapura,42,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Colômbia,29,Amazonas,4,Aéreo,1,2023,Outubro,10,184
América do Sul,4,Colômbia,29,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Costa Rica,12,Amazonas,4,Aéreo,1,2023,Outubro,10,26
América Central e Caribe,2,Costa Rica,12,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Cuba,13,Amazonas,4,Aéreo,1,2023,Outubro,10,7
América Central e Caribe,2,Cuba,13,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Dinamarca,62,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Dinamarca,62,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,El Salvador,14,Amazonas,4,Aéreo,1,2023,Outubro,10,5
América do Sul,4,Equador,30,Amazonas,4,Aéreo,1,2023,Outubro,10,24
América do Sul,4,Equador,30,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Espanha,65,Amazonas,4,Aéreo,1,2023,Outubro,10,29
Europa,6,Espanha,65,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Estados Unidos,24,Amazonas,4,Aéreo,1,2023,Outubro,10,871
América do Norte,3,Estados Unidos,24,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Estônia,66,Amazonas,4,Aéreo,1,2023,Outubro,10,2
Europa,6,Finlândia,67,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,França,68,Amazonas,4,Aéreo,1,2023,Outubro,10,31
Europa,6,França,68,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Grécia,69,Amazonas,4,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Guatemala,15,Amazonas,4,Aéreo,1,2023,Outubro,10,4
América Central e Caribe,2,Guatemala,15,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Guiana,31,Amazonas,4,Aéreo,1,2023,Outubro,10,3
América do Sul,4,Guiana,31,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Haiti,16,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Haiti,16,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Holanda,70,Amazonas,4,Aéreo,1,2023,Outubro,10,16
Europa,6,Holanda,70,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Honduras,17,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Honduras,17,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Índia,44,Amazonas,4,Aéreo,1,2023,Outubro,10,5
Ásia,5,Índia,44,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Irã,46,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Irlanda,72,Amazonas,4,Aéreo,1,2023,Outubro,10,4
Europa,6,Irlanda,72,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Israel,47,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Itália,73,Amazonas,4,Aéreo,1,2023,Outubro,10,9
Europa,6,Itália,73,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Japão,48,Amazonas,4,Aéreo,1,2023,Outubro,10,4
Ásia,5,Japão,48,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Letônia,74,Amazonas,4,Aéreo,1,2023,Outubro,10,2
Europa,6,Letônia,74,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Lituânia,75,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Ásia,5,Malásia,50,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Outros países,89,Amazonas,4,Aéreo,1,2023,Outubro,10,1
América do Norte,3,México,25,Amazonas,4,Aéreo,1,2023,Outubro,10,32
América do Norte,3,México,25,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Nicarágua,18,Amazonas,4,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Nicarágua,18,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Noruega,77,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Oceania,7,Nova Zelândia,91,Amazonas,4,Aéreo,1,2023,Outubro,10,2
Oceania,7,Nova Zelândia,91,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Panamá,19,Amazonas,4,Aéreo,1,2023,Outubro,10,5
América Central e Caribe,2,Panamá,19,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Paraguai,33,Amazonas,4,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Peru,34,Amazonas,4,Aéreo,1,2023,Outubro,10,28
América do Sul,4,Peru,34,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Polônia,78,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Polônia,78,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Portugal,79,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Europa,6,Portugal,79,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Reino Unido,80,Amazonas,4,Aéreo,1,2023,Outubro,10,26
Europa,6,Reino Unido,80,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,República da Coreia,52,Amazonas,4,Aéreo,1,2023,Outubro,10,15
Ásia,5,República da Coreia,52,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,República Dominicana,20,Amazonas,4,Aéreo,1,2023,Outubro,10,9
América Central e Caribe,2,República Dominicana,20,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,República Tcheca,81,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Europa,6,República Tcheca,81,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Rússia,83,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Europa,6,Rússia,83,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Suécia,85,Amazonas,4,Aéreo,1,2023,Outubro,10,2
Europa,6,Suíça,86,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Europa,6,Suíça,86,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Suriname,35,Amazonas,4,Aéreo,1,2023,Outubro,10,3
Ásia,5,Taiwan,55,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Ásia,5,Taiwan,55,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Trinidad e Tobago,21,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Trinidad e Tobago,21,Amazonas,4,Aéreo,1,2023,Outubro,10,0
Europa,6,Turquia,87,Amazonas,4,Aéreo,1,2023,Outubro,10,2
Europa,6,Ucrânia,88,Amazonas,4,Aéreo,1,2023,Outubro,10,1
Europa,6,Ucrânia,88,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Uruguai,36,Amazonas,4,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Uruguai,36,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Venezuela,37,Amazonas,4,Aéreo,1,2023,Outubro,10,8
América do Sul,4,Venezuela,37,Amazonas,4,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Argentina,26,Bahia,5,Aéreo,1,2023,Outubro,10,470
América do Sul,4,Argentina,26,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Canadá,23,Bahia,5,Aéreo,1,2023,Outubro,10,1
Ásia,5,China,40,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Costa Rica,12,Bahia,5,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Cuba,13,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Cuba,13,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Equador,30,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Equador,30,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Espanha,65,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Espanha,65,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Estados Unidos,24,Bahia,5,Aéreo,1,2023,Outubro,10,3
Europa,6,França,68,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Itália,73,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Itália,73,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Reino Unido,80,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Rússia,83,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Suíça,86,Bahia,5,Aéreo,1,2023,Outubro,10,3
América do Sul,4,Uruguai,36,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Uruguai,36,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Venezuela,37,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,África do Sul,1,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,África do Sul,1,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Alemanha,57,Bahia,5,Aéreo,1,2023,Outubro,10,412
Europa,6,Alemanha,57,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Angola,2,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Argentina,26,Bahia,5,Aéreo,1,2023,Outubro,10,2488
América do Sul,4,Argentina,26,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Bahia,5,Aéreo,1,2023,Outubro,10,1
Oceania,7,Austrália,90,Bahia,5,Aéreo,1,2023,Outubro,10,9
Oceania,7,Austrália,90,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Áustria,58,Bahia,5,Aéreo,1,2023,Outubro,10,22
Europa,6,Áustria,58,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Bélgica,59,Bahia,5,Aéreo,1,2023,Outubro,10,93
Europa,6,Bélgica,59,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Bolívia,27,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Bolívia,27,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Bulgária,60,Bahia,5,Aéreo,1,2023,Outubro,10,4
África,1,Cabo Verde,3,Bahia,5,Aéreo,1,2023,Outubro,10,3
África,1,Cabo Verde,3,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Canadá,23,Bahia,5,Aéreo,1,2023,Outubro,10,2
América do Norte,3,Canadá,23,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Chile,28,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Chile,28,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,China,40,Bahia,5,Aéreo,1,2023,Outubro,10,1
Ásia,5,China,40,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Cingapura,42,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Colômbia,29,Bahia,5,Aéreo,1,2023,Outubro,10,8
América do Sul,4,Colômbia,29,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Costa Rica,12,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Costa Rica,12,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Croácia,61,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Croácia,61,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Cuba,13,Bahia,5,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Cuba,13,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Dinamarca,62,Bahia,5,Aéreo,1,2023,Outubro,10,14
Europa,6,Dinamarca,62,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Egito,4,Bahia,5,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,El Salvador,14,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,El Salvador,14,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Equador,30,Bahia,5,Aéreo,1,2023,Outubro,10,2
América do Sul,4,Equador,30,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Eslováquia,63,Bahia,5,Aéreo,1,2023,Outubro,10,3
Europa,6,Eslováquia,63,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Eslovênia,64,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Eslovênia,64,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Espanha,65,Bahia,5,Aéreo,1,2023,Outubro,10,430
Europa,6,Espanha,65,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Norte,3,Estados Unidos,24,Bahia,5,Aéreo,1,2023,Outubro,10,18
América do Norte,3,Estados Unidos,24,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Estônia,66,Bahia,5,Aéreo,1,2023,Outubro,10,2
Europa,6,Finlândia,67,Bahia,5,Aéreo,1,2023,Outubro,10,3
Europa,6,Finlândia,67,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,França,68,Bahia,5,Aéreo,1,2023,Outubro,10,484
Europa,6,França,68,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Grécia,69,Bahia,5,Aéreo,1,2023,Outubro,10,10
Europa,6,Grécia,69,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Guatemala,15,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Guatemala,15,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,1
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Holanda,70,Bahia,5,Aéreo,1,2023,Outubro,10,88
Europa,6,Holanda,70,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Hungria,71,Bahia,5,Aéreo,1,2023,Outubro,10,2
Europa,6,Hungria,71,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Índia,44,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Índia,44,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Indonésia,45,Bahia,5,Aéreo,1,2023,Outubro,10,2
Ásia,5,Indonésia,45,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Irã,46,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Irã,46,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Irlanda,72,Bahia,5,Aéreo,1,2023,Outubro,10,28
Europa,6,Irlanda,72,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Israel,47,Bahia,5,Aéreo,1,2023,Outubro,10,10
Ásia,5,Israel,47,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Itália,73,Bahia,5,Aéreo,1,2023,Outubro,10,292
Europa,6,Itália,73,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Outros países,22,Bahia,5,Aéreo,1,2023,Outubro,10,2
Ásia,5,Japão,48,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Japão,48,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Letônia,74,Bahia,5,Aéreo,1,2023,Outubro,10,2
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Lituânia,75,Bahia,5,Aéreo,1,2023,Outubro,10,24
Europa,6,Lituânia,75,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Luxemburgo,76,Bahia,5,Aéreo,1,2023,Outubro,10,2
Europa,6,Luxemburgo,76,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Malásia,50,Bahia,5,Aéreo,1,2023,Outubro,10,1
África,1,Marrocos,6,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Marrocos,6,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Norte,3,México,25,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Norte,3,México,25,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Moçambique,7,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Nicarágua,18,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Nicarágua,18,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Noruega,77,Bahia,5,Aéreo,1,2023,Outubro,10,9
Europa,6,Noruega,77,Bahia,5,Aéreo,1,2023,Outubro,10,0
Oceania,7,Nova Zelândia,91,Bahia,5,Aéreo,1,2023,Outubro,10,2
Oceania,7,Nova Zelândia,91,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Panamá,19,Bahia,5,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Panamá,19,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Paraguai,33,Bahia,5,Aéreo,1,2023,Outubro,10,3
América do Sul,4,Paraguai,33,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Peru,34,Bahia,5,Aéreo,1,2023,Outubro,10,1
América do Sul,4,Peru,34,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Polônia,78,Bahia,5,Aéreo,1,2023,Outubro,10,291
Europa,6,Polônia,78,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Portugal,79,Bahia,5,Aéreo,1,2023,Outubro,10,851
Europa,6,Portugal,79,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Reino Unido,80,Bahia,5,Aéreo,1,2023,Outubro,10,101
Europa,6,Reino Unido,80,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,República da Coreia,52,Bahia,5,Aéreo,1,2023,Outubro,10,1
Ásia,5,República da Coreia,52,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,República Dominicana,20,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,República Dominicana,20,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,República Tcheca,81,Bahia,5,Aéreo,1,2023,Outubro,10,4
Europa,6,República Tcheca,81,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Romênia,82,Bahia,5,Aéreo,1,2023,Outubro,10,3
Europa,6,Romênia,82,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Rússia,83,Bahia,5,Aéreo,1,2023,Outubro,10,7
Europa,6,Rússia,83,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Bahia,5,Aéreo,1,2023,Outubro,10,0
África,1,Outros países,11,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Sérvia,84,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Sérvia,84,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Suécia,85,Bahia,5,Aéreo,1,2023,Outubro,10,13
Europa,6,Suécia,85,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Suíça,86,Bahia,5,Aéreo,1,2023,Outubro,10,297
Europa,6,Suíça,86,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Taiwan,55,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Taiwan,55,Bahia,5,Aéreo,1,2023,Outubro,10,0
América Central e Caribe,2,Trinidad e Tobago,21,Bahia,5,Aéreo,1,2023,Outubro,10,1
América Central e Caribe,2,Trinidad e Tobago,21,Bahia,5,Aéreo,1,2023,Outubro,10,0
Europa,6,Turquia,87,Bahia,5,Aéreo,1,2023,Outubro,10,1
Europa,6,Ucrânia,88,Bahia,5,Aéreo,1,2023,Outubro,10,4
Europa,6,Ucrânia,88,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Uruguai,36,Bahia,5,Aéreo,1,2023,Outubro,10,23
América do Sul,4,Uruguai,36,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Venezuela,37,Bahia,5,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Venezuela,37,Bahia,5,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Bahia,5,Aéreo,1,2023,Outubro,10,1
África,1,África do Sul,1,Ceará,6,Aéreo,1,2023,Outubro,10,2
África,1,África do Sul,1,Ceará,6,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Ceará,6,Aéreo,1,2023,Outubro,10,2
Europa,6,Outros países,89,Ceará,6,Aéreo,1,2023,Outubro,10,0
Europa,6,Alemanha,57,Ceará,6,Aéreo,1,2023,Outubro,10,861
Europa,6,Alemanha,57,Ceará,6,Aéreo,1,2023,Outubro,10,0
Europa,6,Outros países,89,Ceará,6,Aéreo,1,2023,Outubro,10,0
África,1,Angola,2,Ceará,6,Aéreo,1,2023,Outubro,10,7
África,1,Outros países,11,Ceará,6,Aéreo,1,2023,Outubro,10,0
América do Sul,4,Argentina,26,Ceará,6,Aéreo,1,2023,Outubro,10,32
América do Sul,4,Argentina,26,Ceará,6,Aéreo,1,2023,Outubro,10,0
Ásia,5,Outros países,56,Ceará,6,Aéreo,1,2023,Outubro,10,0
Oceania,7,Austrália,90,Ceará,6,Aéreo,1,2023,Outubro,10,5
Oceania,7,Austrália,90,Ceará,6,Aéreo,1,2023,Outubro,10,0
